;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh lub PLN/toe);wolumen (MWh lub toe);ukey
348;348;2016-05-05;TGEoze;-;-;2016-05-05/TGEoze
349;349;2016-05-05;TGEozea;103.52;148036.87;2016-05-05/TGEozea
350;350;2016-05-10;TGEbg;-;-;2016-05-10/TGEbg
351;351;2016-05-10;TGEef;990.00;744.00;2016-05-10/TGEef
352;352;2016-05-10;TGEkec15;10.81;27972.87;2016-05-10/TGEkec15
353;353;2016-05-10;TGEkec16;10.51;11000.00;2016-05-10/TGEkec16
354;354;2016-05-10;TGEkgm15;119.56;23969.18;2016-05-10/TGEkgm15
355;355;2016-05-10;TGEkgm16;119.68;3296.75;2016-05-10/TGEkgm16
356;356;2016-05-10;TGEkmet15;-;-;2016-05-10/TGEkmet15
357;357;2016-05-10;TGEkmet16;-;-;2016-05-10/TGEkmet16
